player_name	team	position	foot	goals	agg_position
Arijan Ademi	North Macedonia	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Ezgjan Alioski	North Macedonia	Left Wing Back	Left Foot	0.3333333333333333	Left Back
Eljif Elmas	North Macedonia	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Boban Nikolov	North Macedonia	Right Wing Back	Right Foot	0.0	Right Back
Stefan Ristovski	North Macedonia	Right Center Back	Right Foot	0.0	Center Back
Visar Musliu	North Macedonia	Left Center Back	Right Foot	0.0	Center Back
Darko Velkovski	North Macedonia	Center Back	Right Foot	0.0	Center Back
Billy Gilmour	Scotland	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Reece James	England	Right Back	Right Foot	0.0	Right Back
Tamás Cseri	Hungary	Left Center Midfield	Left Foot	0.0	Center Midfield
Adrien Rabiot	France	Left Center Midfield	Left Foot	0.0	Center Midfield
Marlos Romero Bonfim	Ukraine	Left Wing	Left Foot	0.0	Left Wing
Vitalii Mykolenko	Ukraine	Left Back	Left Foot	0.0	Left Back
Marcus Forss	Finland	Left Center Forward	Other	0.0	Striker
Hans Vanaken	Belgium	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Christian Benteke Liolo	Belgium	Center Forward	Right Foot	0.0	Striker
Nikolai Alho	Finland	Left Wing Back	Right Foot	0.0	Left Back
Tim Sparv	Finland	Center Defensive Midfield	Left Foot	0.0	Defensive Midfield
Leandro Trossard	Belgium	Right Wing Back	Right Foot	0.0	Right Back
Jason Denayer	Belgium	Center Back	Right Foot	0.0	Center Back
Matěj Vydra	Czech Republic	Left Center Forward	Right Foot	0.0	Striker
Tyrone Mings	England	Left Center Back	Left Foot	0.0	Center Back
Tomáš Pekhart	Czech Republic	Center Forward	Right Foot	0.0	Striker
Adam Hložek	Czech Republic	Left Wing	Left Foot	0.0	Left Wing
Jude Bellingham	England	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Alex Král	Czech Republic	Right Center Midfield	Right Foot	0.0	Center Midfield
Petr Ševčík	Czech Republic	Left Wing	Right Foot	0.0	Left Wing
Vladimír Darida	Czech Republic	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Tomáš Holeš	Czech Republic	Right Center Midfield	Right Foot	0.2	Center Midfield
Tomáš Kalas	Czech Republic	Left Center Back	Right Foot	0.0	Center Back
Lukáš Masopust	Czech Republic	Right Wing	Right Foot	0.0	Right Wing
Jan Bořil	Czech Republic	Left Back	Right Foot	0.0	Left Back
Vladimír Coufal	Czech Republic	Right Back	Right Foot	0.0	Right Back
Jakub Jankto	Czech Republic	Left Wing	Left Foot	0.0	Left Wing
Tomáš Souček	Czech Republic	Left Center Midfield	Right Foot	0.0	Center Midfield
Ondrej Celustka	Czech Republic	Right Center Back	Right Foot	0.0	Center Back
Patrik Schick	Czech Republic	Center Forward	Left Foot	1.0	Striker
Kevin Nisbet	Scotland	Right Center Forward	Right Foot	0.0	Striker
Nathan Patterson	Scotland	Right Wing Back	Right Foot	0.0	Right Back
Ryan Fraser	Scotland	Left Center Midfield	Right Foot	0.0	Center Midfield
Borna Barišić	Croatia	Left Back	Left Foot	0.0	Left Back
Scott McKenna	Scotland	Center Back	Left Foot	0.0	Center Back
Lyndon Dykes	Scotland	Right Center Forward	Right Foot	0.0	Striker
Scott McTominay	Scotland	Right Center Back	Right Foot	0.0	Center Back
Callum William McGregor	Scotland	Center Defensive Midfield	Left Foot	0.3333333333333333	Defensive Midfield
David Marshall	Scotland	Goalkeeper	Right Foot	0.0	Goalkeeper
Grant Hanley	Scotland	Center Back	Right Foot	0.0	Center Back
John McGinn	Scotland	Right Center Midfield	Left Foot	0.0	Center Midfield
Che Adams	Scotland	Left Center Forward	Right Foot	0.0	Striker
"Stephen O""Donnell"	Scotland	Right Wing Back	Right Foot	0.0	Right Back
Kieran Tierney	Scotland	Left Center Back	Left Foot	0.0	Center Back
Stuart Armstrong	Scotland	Left Center Midfield	Right Foot	0.0	Center Midfield
Nemanja Nikolić	Hungary	Left Center Forward	Head	0.0	Striker
Gergő Lovrencsics	Hungary	Right Center Midfield	Right Foot	0.0	Center Midfield
Kevin Varga	Hungary	Left Center Forward	Right Foot	0.0	Striker
Kevin Volland	Germany	Left Wing Back	Right Foot	0.0	Left Back
Szabolcs Schön	Hungary	Right Center Forward	Left Foot	0.0	Striker
Ádám Szalai	Hungary	Left Center Forward	Right Foot	0.3333333333333333	Striker
Willi Orban	Hungary	Center Back	Right Foot	0.0	Center Back
Attila Fiola	Hungary	Left Wing Back	Right Foot	0.3333333333333333	Left Back
Roland Sallai	Hungary	Right Center Forward	Right Foot	0.0	Striker
Péter Gulácsi	Hungary	Goalkeeper	Right Foot	0.0	Goalkeeper
Ádám Nagy	Hungary	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
András Schäfer	Hungary	Left Center Midfield	Right Foot	0.3333333333333333	Center Midfield
